Tanggal,Penjualan_Bersih
2020-01-01,24854996124.699997
2020-02-01,10484315244.677776
2020-03-01,5920910977.746667
2020-04-01,1650581275.5068252
2020-05-01,0.0
2020-06-01,1547014504.2631269
2020-07-01,2851217280.1977777
2020-08-01,3987960545.63
2020-09-01,4440589962.694445
2020-10-01,4572612777.16
2020-11-01,5247715846.459999
2020-12-01,5681352589.26
2021-01-01,4789111920.917778
2021-02-01,2184147581.96
2021-03-01,4143748973.141667
2021-04-01,4584124945.34
2021-05-01,4053147791.434545
2021-06-01,4028164206.8327274
2021-07-01,4037573452.2236366
2021-08-01,3226075197.84
2021-09-01,2317500690.1
2021-10-01,2124179234.8236363
2021-11-01,3436359160.38
2021-12-01,4115232829.26
2022-01-01,2648585909.02557
2022-02-01,2169054493.7003174
2022-03-01,2820789387.430909
2022-04-01,5831520727.8
2022-05-01,5669674545.200001
2022-06-01,6021164303.200001
2022-07-01,7208079178.16
2022-08-01,5526331998.444445
2022-09-01,6675358541.4
2022-10-01,6170956390.84
2022-11-01,6052136933.850908
2022-12-01,11429449030.089092
2023-01-01,9221159104.942642
2023-02-01,10945321060.103638
2023-03-01,18831823763.04286
2023-04-01,17099092972.560001
2023-05-01,19705331640.14
2023-06-01,17464193698.920002
2023-07-01,17120514882.0
2023-08-01,19340284500.0
2023-09-01,18876877977.14
2023-10-01,17762011726.36889
2023-11-01,20081568328.659996
2023-12-01,18634487938.249092
2024-01-01,18137389202.879997
2024-02-01,17185132762.68
2024-03-01,18289071590.86
2024-04-01,14530070820.88
2024-05-01,18583582492.659996
2024-06-01,15506281002.34
2024-07-01,16158664602.499996
2024-08-01,17106937752.2
2024-09-01,17052407543.68
2024-10-01,15133294087.839998
2024-11-01,16579677096.419998
2024-12-01,17008337397.779999
